main_matrix_name,aux_matrix_name,rmse
LUTR910102.csv,OVEJ920101.csv,0.8291
LUTR910102.csv,HENS920104.csv,0.8287
LUTR910102.csv,OGAK980101.csv,0.8292
LUTR910102.csv,MEHP950102.csv,0.8284
LUTR910102.csv,LUTR910101.csv,0.8285
LUTR910102.csv,MUET010101.csv,0.8281
LUTR910102.csv,DAYM780301.csv,0.8279
LUTR910102.csv,BENS940103.csv,0.8296
LUTR910102.csv,TUDE900101.csv,0.8298
LUTR910102.csv,RIER950101.csv,0.8297
LUTR910102.csv,KOSJ950110.csv,0.8304
LUTR910102.csv,OVEJ920104.csv,0.8293
LUTR910102.csv,KOSJ950106.csv,0.8300
LUTR910102.csv,KOSJ950111.csv,0.8303
LUTR910102.csv,MIYT790101.csv,0.8319
LUTR910102.csv,RISJ880101.csv,0.8284
LUTR910102.csv,WEIL970102.csv,0.8298
LUTR910102.csv,MUET020102.csv,0.8288
LUTR910102.csv,KOSJ950104.csv,0.8313
LUTR910102.csv,KOSJ950103.csv,0.8306
LUTR910102.csv,DOSZ010103.csv,0.8300
LUTR910102.csv,QUIB020101.csv,0.8282
LUTR910102.csv,BLAJ010101.csv,0.8286
LUTR910102.csv,MIYS930101.csv,0.8288
LUTR910102.csv,KOSJ950114.csv,0.8307
LUTR910102.csv,HENS920102.csv,0.8289
LUTR910102.csv,ALTS910101.csv,0.8288
LUTR910102.csv,LINK010101.csv,0.8300
LUTR910102.csv,KAPO950101.csv,0.8282
LUTR910102.csv,LUTR910109.csv,0.8294
LUTR910102.csv,AZAE970101.csv,0.8294
LUTR910102.csv,DAYM780302.csv,0.8295
LUTR910102.csv,OVEJ920103.csv,0.8295
LUTR910102.csv,KOLA920101.csv,0.8302
LUTR910102.csv,KOSJ950112.csv,0.8317
LUTR910102.csv,LUTR910107.csv,0.8285
LUTR910102.csv,KOSJ950107.csv,0.8303
LUTR910102.csv,KANM000101.csv,0.8297
LUTR910102.csv,OVEJ920102.csv,0.8281
LUTR910102.csv,KOSJ950115.csv,0.8300
LUTR910102.csv,LUTR910108.csv,0.8298
LUTR910102.csv,GEOD900101.csv,0.8281
LUTR910102.csv,GIAG010101.csv,0.8280
OVEJ920103.csv,KOSJ950101.csv,0.8308
OVEJ920103.csv,KOSJ950113.csv,0.8323
OVEJ920103.csv,MOHR870101.csv,0.8321
OVEJ920103.csv,NAOD960101.csv,0.8327
OVEJ920103.csv,RUSR970103.csv,0.8314
OVEJ920103.csv,PRLA000101.csv,0.8331
OVEJ920103.csv,BENS940102.csv,0.8311
OVEJ920103.csv,LEVJ860101.csv,0.8306
OVEJ920103.csv,QU_C930101.csv,0.8329
OVEJ920103.csv,VOGG950101.csv,0.8323
OVEJ920103.csv,LUTR910106.csv,0.8311
OVEJ920103.csv,HENS920101.csv,0.8320
OVEJ920103.csv,KOSJ950102.csv,0.8317
OVEJ920103.csv,FEND850101.csv,0.8310
OVEJ920103.csv,MCLA710101.csv,0.8319
OVEJ920103.csv,QU_C930103.csv,0.8337
OVEJ920103.csv,JOHM930101.csv,0.8337
OVEJ920103.csv,MUET020101.csv,0.8329
OVEJ920103.csv,LUTR910105.csv,0.8310
OVEJ920103.csv,OVEJ920105.csv,0.8304
OVEJ920103.csv,LUTR910104.csv,0.8278
OVEJ920103.csv,BENS940104.csv,0.8308
OVEJ920103.csv,HENS920103.csv,0.8335
OVEJ920103.csv,BENS940101.csv,0.8309
OVEJ920103.csv,RUSR970102.csv,0.8299
OVEJ920103.csv,JOND940101.csv,0.8299
OVEJ920103.csv,FITW660101.csv,0.8311
OVEJ920103.csv,PRLA000102.csv,0.8327
OVEJ920103.csv,CROG050101.csv,0.8348
OVEJ920103.csv,MCLA720101.csv,0.8314
OVEJ920103.csv,DOSZ010102.csv,0.8315
OVEJ920103.csv,NGPC000101.csv,0.8291
OVEJ920103.csv,DOSZ010101.csv,0.8305
OVEJ920103.csv,QU_C930102.csv,0.8327
OVEJ920103.csv,GRAR740104.csv,0.8299
OVEJ920103.csv,CSEM940101.csv,0.8293
OVEJ920103.csv,WEIL970101.csv,0.8335
OVEJ920103.csv,GONG920101.csv,0.8323
OVEJ920103.csv,NIEK910101.csv,0.8301
OVEJ920103.csv,JOND920103.csv,0.8307
OVEJ920103.csv,KOSJ950109.csv,0.8313
OVEJ920103.csv,DOSZ010104.csv,0.8326
OVEJ920103.csv,AZAE970102.csv,0.8315
OVEJ920103.csv,LUTR910103.csv,0.8326
OVEJ920103.csv,KOSJ950108.csv,0.8316
OVEJ920103.csv,KOSJ950105.csv,0.8324
OVEJ920103.csv,RUSR970101.csv,0.8313
OVEJ920103.csv,NIEK910102.csv,0.8303
OVEJ920103.csv,OVEJ920101.csv,0.8330
OVEJ920103.csv,HENS920104.csv,0.8334
OVEJ920103.csv,OGAK980101.csv,0.8309
OVEJ920103.csv,MEHP950102.csv,0.8297
OVEJ920103.csv,LUTR910101.csv,0.8333
OVEJ920103.csv,MUET010101.csv,0.8293
OVEJ920103.csv,DAYM780301.csv,0.8305
OVEJ920103.csv,BENS940103.csv,0.8330
OVEJ920103.csv,TUDE900101.csv,0.8305
OVEJ920103.csv,RIER950101.csv,0.8308
OVEJ920103.csv,KOSJ950110.csv,0.8313
OVEJ920103.csv,OVEJ920104.csv,0.8283
OVEJ920103.csv,LUTR910102.csv,0.8279
OVEJ920103.csv,KOSJ950106.csv,0.8320
OVEJ920103.csv,KOSJ950111.csv,0.8320
OVEJ920103.csv,MIYT790101.csv,0.8301
OVEJ920103.csv,RISJ880101.csv,0.8290
OVEJ920103.csv,WEIL970102.csv,0.8310
OVEJ920103.csv,MUET020102.csv,0.8324
OVEJ920103.csv,KOSJ950104.csv,0.8323
OVEJ920103.csv,KOSJ950103.csv,0.8315
OVEJ920103.csv,DOSZ010103.csv,0.8331
OVEJ920103.csv,QUIB020101.csv,0.8328
OVEJ920103.csv,BLAJ010101.csv,0.8330
OVEJ920103.csv,MIYS930101.csv,0.8305
OVEJ920103.csv,KOSJ950114.csv,0.8313
OVEJ920103.csv,HENS920102.csv,0.8347
