Test Virus,Reference Virus,Distance
A/Alsace/28544/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/2701/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/2702/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/2703/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/2705/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/2706/2022,A/Bangladesh/4005/2020,1.015693807105146
A/Andalucia/2708/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/2709/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/2713/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/2714/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/2715/2022,A/Bangladesh/4005/2020,1.015693807105146
A/Andalucia/2716/2022,A/Bangladesh/4005/2020,1.015693807105146
A/Andalucia/2717/2022,A/Bangladesh/4005/2020,1.015693807105146
A/Andalucia/2718/2022,A/Bangladesh/4005/2020,1.015693807105146
A/Andalucia/2720/2022,A/Bangladesh/4005/2020,1.015693807105146
A/Andalucia/2723/2022,A/Bangladesh/4005/2020,0.015693807105146007
A/Andalucia/9561/2021,A/Bangladesh/4005/2020,0.015693807105146007
A/Andalucia/9928/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Andalucia/9929/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Antananarivo/03601/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Antananarivo/04020/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Antananarivo/04650/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Antananarivo/05015/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Antsirabe/03366/2022,A/Bangladesh/4005/2020,4.015693807105145
A/Antsirabe/03799/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Argentina/2745/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Argentina/2784/2022,A/Bangladesh/4005/2020,1.015693807105146
A/Argentina/2822/2022,A/Bangladesh/4005/2020,1.015693807105146
A/Argentina/2863/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Argentina/2894/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Argentina/2953/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Argentina/2959/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Argentina/2973/2022,A/Bangladesh/4005/2020,1.015693807105146
A/Argentina/2995/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Argentina/3023/2022,A/Bangladesh/4005/2020,2.015693807105145
A/Argentina/R21/2022,A/Bangladesh/4005/2020,3.015693807105145
A/Armenia/19/2022,A/Bangladesh/4005/2020,3.015693807105145
A/Armenia/869/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Armenia/881/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Armenia/883/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Armenia/885/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Armenia/887/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Armenia/897/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Armenia/917/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Armenia/919/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Armenia/921/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Armenia/922/2021,A/Bangladesh/4005/2020,1.015693807105146
A/Arsal/5767/2021,A/Bangladesh/4005/2020,2.015693807105145
A/Arsal/5768/2021,A/Bangladesh/4005/2020,3.015693807105145
A/Arsal/5772/2021,A/Bangladesh/4005/2020,3.015693807105145
A/Arsal/5773/2021,A/Bangladesh/4005/2020,3.015693807105145
